0.0129	2.8368	0	0	0.0129	2.8368	0	2.75	0	1
0.0124164	3.26135	-0.00184176	0.914444	0.0120735	3.26638	-0.022	3.0991	-0.1097	0.994
0.127121	3.62215	0.297712	0.903823	0.1294	3.6215	-0.0938	3.4924	-0.2334	0.9724
-0.16017	3.98985	-0.77163	1.02947	-0.183214	3.9033	-0.2143	3.8735	-0.3535	0.9354
-0.434171	4.31607	-0.672375	0.787531	-0.4306	4.3001	-0.3817	4.2365	-0.4679	0.8838
-0.544564	4.44953	-0.336458	0.850836	-0.492354	4.08655	-0.5932	4.5757	-0.575	0.8181
-0.796166	4.80934	-0.6589	0.90944	-0.8092	4.8147	-0.8456	4.8857	-0.673	0.7396
-1.26838	4.88089	-1.28921	0.483906	-1.20951	4.59839	-1.1348	5.1616	-0.7604	0.6494
-1.22736	5.26965	0.164956	1.00544	-1.1745	5.2948	-1.4564	5.3991	-0.8358	0.549
-1.89026	5.51772	-1.68897	0.1247	-2.05401	5.66736	-1.8051	5.5945	-0.898	0.4399
-2.09781	5.62191	-0.505602	0.253211	-2.0548	5.6235	-2.1756	5.7445	-0.9461	0.3239
-2.53975	5.83558	-1.0254	0.254154	-2.66909	6.03994	-2.562	5.847	-0.9792	0.2028
-2.94425	5.80081	-0.991123	-0.125332	-2.9386	5.7768	-2.9582	5.9002	-0.9969	0.0785
-3.39413	6.08603	-0.759139	0.133277	-3.6207	6.5341	-3.3579	5.9033	-0.9989	-0.0471
-3.66867	6.02106	-0.658709	-0.191197	-3.6596	6.0008	-3.7549	5.8563	-0.9851	-0.1719
-4.06258	5.89931	-1.1091	-0.161575	-4.03761	5.81768	-4.1429	5.76	-0.9558	-0.294
-4.38386	5.87952	-0.814568	-0.0714915	-4.3725	5.8798	-4.5157	5.6157	-0.9114	-0.4115
-4.83532	5.5933	-1.20755	-0.695562	-4.81078	5.48725	-4.8675	5.4259	-0.8526	-0.5225
-5.18922	5.12765	-0.827589	-1.21648	-5.1627	5.0937	-5.1927	5.1935	-0.7804	-0.6252
-5.49422	4.93779	-0.549547	-0.59168	-5.60769	5.10997	-5.4863	4.9222	-0.6959	-0.7181
-5.76397	4.63575	-0.665411	-0.742035	-5.7677	4.6309	-5.7435	4.6162	-0.6004	-0.7997
-6.23837	4.16152	-1.33889	-1.13745	-6.22729	4.08431	-5.9603	4.2804	-0.4955	-0.8686
-6.40433	3.54432	-0.304079	-1.62082	-6.3388	3.5065	-6.1333	3.92	-0.3827	-0.9239
-6.4138	3.49476	0.235185	-0.114436	-6.49239	3.68626	-6.2599	3.5408	-0.2639	-0.9646
-6.30924	3.40183	0.272662	-0.227155	-6.3056	3.3972	-6.3378	3.1487	-0.1409	-0.99
-6.4105	2.75309	-0.403242	-1.66701	-6.34103	2.6072	-6.3661	2.75	-0.0157	-0.9999
-6.36559	2.14834	0.146297	-1.55817	-6.3345	2.1449	-6.3441	2.3509	0.1097	-0.994
-6.38802	1.79451	-0.124787	-0.821716	-6.39524	1.84586	-6.2723	1.9576	0.2334	-0.9724
-6.00812	1.44022	1.09743	-0.894266	-5.9275	1.4297	-6.1518	1.5765	0.3535	-0.9355
-5.82546	1.07588	0.382007	-0.906566	-5.90711	1.08097	-5.9844	1.2135	0.4679	-0.8838
-5.67111	0.737259	0.385416	-0.845486	-5.6712	0.7395	-5.7729	0.8743	0.575	-0.8182
-5.20171	0.258988	1.11424	-1.21289	-5.01625	0.244447	-5.5205	0.5643	0.673	-0.7396
-5.12936	0.139216	0.053628	-0.28339	-5.2016	0.1749	-5.2312	0.2884	0.7604	-0.6495
-4.72156	0.022854	0.841427	-0.290772	-4.44554	0.0221952	-4.9097	0.0509	0.8358	-0.549
